TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,date
1,-,Renaissance: A Film by Beyoncé,11619984,0.0,0.0,2539,4576,11619984,1,N/A,2023-12-01
2,-,Godzilla Minus One,4726373,0.0,0.0,2308,2047,4726373,1,N/A,2023-12-01
3,1,The Hunger Games: The Ballad of Songbirds & Snakes,4098544,141.1,-63.8,3691,1110,110841952,15,Lionsgate Films,2023-12-01
4,-,Animal,2778329,0.0,0.0,698,3980,2778329,1,N/A,2023-12-01
5,2,Napoleon,2125462,93.1,-74.7,3500,607,40740705,10,Columbia Pictures,2023-12-01
6,-,The Shift,1750398,0.0,0.0,2450,714,1750398,1,Angel Studios,2023-12-01
7,4,Trolls Band Together,1691040,227.3,-76.4,3616,467,68924095,15,Universal Pictures,2023-12-01
8,3,Wish,1652988,190.2,-79.6,3900,423,36196930,10,Walt Disney Studios Motion Pictures,2023-12-01
9,-,Silent Night,1088202,0.0,0.0,1870,581,1088202,1,Lionsgate Films,2023-12-01
10,5,Thanksgiving,763127,125.1,-72.6,2506,304,26510760,15,TriStar Pictures,2023-12-01
11,7,The Marvels,648706,116.6,-73.4,2200,294,78874892,22,Walt Disney Studios Motion Pictures,2023-12-01
12,9,Dream Scenario,591750,231.0,151.2,1578,375,2372634,22,A24,2023-12-01
13,6,Saltburn,508281,64.7,-18.5,1566,324,5175167,15,Warner Bros.,2023-12-01
14,8,The Holdovers,341405,81.0,-68.1,1312,260,14265690,36,Focus Features,2023-12-01
15,14,Taylor Swift: The Eras Tour,142901,153.3,-84.0,636,224,179131590,50,N/A,2023-12-01
16,12,Killers of the Flower Moon,119462,60.8,-70.9,420,284,66172467,43,Paramount Pictures,2023-12-01
17,13,Five Nights at Freddy's,104090,76.6,-83.9,732,142,136621660,36,Universal Pictures International (UPI),2023-12-01
18,10,Priscilla,99995,25.1,-78.5,435,229,20149573,36,A24,2023-12-01
19,11,Next Goal Wins,66600,-15.1,-90.1,500,133,6233315,15,Searchlight Pictures,2023-12-01
20,16,Radical,56429,153.5,-77.2,255,221,8033788,29,Pantelion Films,2023-12-01
21,15,Journey to Bethlehem,49082,1.1,-80.2,466,105,6009139,22,Affirm Films,2023-12-01
22,-,Eileen,37863,0.0,0.0,6,6310,37863,1,N/A,2023-12-01
23,17,Anatomy of a Fall,16103,37.0,-38.1,72,223,3441251,50,N/A,2023-12-01
24,18,Oppenheimer,3405,-11.7,-63.6,101,33,325374280,134,Universal Pictures,2023-12-01
25,25,Barbie,2020,53.6,-57.8,31,65,636195181,134,Warner Bros.,2023-12-01
26,19,Stop Making Sense2023  Re-release,1907,-48.0,-37.0,9,211,5067979,71,N/A,2023-12-01
27,22,After Death,1087,-37.3,-83.0,22,49,11469322,36,Angel Studios,2023-12-01
28,23,Peeping Tom2023 Re-release,1020,-28.2,-53.9,2,510,12555,36,N/A,2023-12-01
29,-,Clean Slate2023 Re-release,885,0.0,0.0,1,885,885,1,Rialto Pictures,2023-12-01
30,28,Smoke Sauna Sisterhood,278,-49.2,-59.7,2,139,5629,8,Greenwich Entertainment,2023-12-01
31,24,The Marsh King's Daughter,93,-93.2,-88.7,3,31,1790239,29,Lionsgate Films,2023-12-01
1,3,The Hunger Games: The Ballad of Songbirds & Snakes,6045644,47.5,-45.5,3691,1637,116887596,16,Lionsgate Films,2023-12-02
2,1,Renaissance: A Film by Beyoncé,6024538,-48.2,0.0,2539,2372,17644522,2,N/A,2023-12-02
3,2,Godzilla Minus One,3735270,-21.0,0.0,2308,1618,8461643,2,N/A,2023-12-02
4,7,Trolls Band Together,3612560,113.6,-44.8,3616,999,72536655,16,Universal Pictures,2023-12-02
5,8,Wish,3531470,113.6,-50.5,3900,905,39728400,11,Walt Disney Studios Motion Pictures,2023-12-02
6,5,Napoleon,3087369,45.3,-59.0,3500,882,43828074,11,Columbia Pictures,2023-12-02
7,4,Animal,2027027,-27.0,0.0,698,2904,4805356,2,N/A,2023-12-02
8,6,The Shift,1424674,-18.6,0.0,2450,581,3175072,2,Angel Studios,2023-12-02
9,10,Thanksgiving,1179235,54.5,-57.6,2506,470,27689995,16,TriStar Pictures,2023-12-02
10,11,The Marvels,1165708,79.7,-52.9,2200,529,80040600,23,Walt Disney Studios Motion Pictures,2023-12-02
11,9,Silent Night,1164594,7.0,0.0,1870,622,2252796,2,Lionsgate Films,2023-12-02
12,13,Saltburn,648719,27.6,-4.1,1566,414,5823886,16,Warner Bros.,2023-12-02
13,12,Dream Scenario,627255,6.0,171.7,1578,397,2999889,23,A24,2023-12-02
14,14,The Holdovers,520785,52.5,-51.0,1312,396,14786475,37,Focus Features,2023-12-02
15,15,Taylor Swift: The Eras Tour,263996,84.7,-68.2,636,415,179395586,51,N/A,2023-12-02
16,16,Killers of the Flower Moon,202479,69.5,-51.6,420,482,66374946,44,Paramount Pictures,2023-12-02
17,17,Five Nights at Freddy's,200505,92.6,-72.1,732,273,136822165,37,Universal Pictures International (UPI),2023-12-02
18,18,Priscilla,132993,33.0,-72.3,435,305,20282566,37,A24,2023-12-02
19,19,Next Goal Wins,117384,76.3,-81.1,500,234,6350699,16,Searchlight Pictures,2023-12-02
20,20,Radical,104239,84.7,-62.3,255,408,8138027,30,Pantelion Films,2023-12-02
21,21,Journey to Bethlehem,81190,65.4,-65.1,466,174,6090329,23,Affirm Films,2023-12-02
22,22,Eileen,30975,-18.2,0.0,6,5162,68838,2,N/A,2023-12-02
23,23,Anatomy of a Fall,29630,84.0,-15.3,72,411,3470881,51,N/A,2023-12-02
24,24,Oppenheimer,9695,184.7,-6.3,101,95,325383975,135,Universal Pictures,2023-12-02
25,25,Barbie,3144,55.6,-38.5,31,101,636198325,135,Warner Bros.,2023-12-02
26,26,Stop Making Sense2023  Re-release,3121,63.7,-66.2,9,346,5071100,72,N/A,2023-12-02
27,27,After Death,1890,73.9,-73.3,22,85,11471212,37,Angel Studios,2023-12-02
28,29,Clean Slate2023 Re-release,1552,75.4,0.0,1,1552,2437,2,Rialto Pictures,2023-12-02
29,28,Peeping Tom2023 Re-release,1240,21.6,-45.5,2,620,13795,37,N/A,2023-12-02
30,-,Past Lives,630,0.0,0.0,4,157,11015727,184,A24,2023-12-02
31,30,Smoke Sauna Sisterhood,508,82.7,-73.8,2,254,6137,9,Greenwich Entertainment,2023-12-02
32,31,The Marsh King's Daughter,272,192.5,-45.7,3,90,1790511,30,Lionsgate Films,2023-12-02
